age_group,symptom date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths
01-04 years,2/1/2020,0,0,0,0,0,0
01-04 years,2/2/2020,0,0,0,0,0,0
01-04 years,2/3/2020,0,0,0,0,0,0
01-04 years,2/4/2020,0,0,0,0,0,0
01-04 years,2/5/2020,0,0,0,0,0,0
01-04 years,2/6/2020,0,0,0,0,0,0
01-04 years,2/7/2020,0,0,0,0,0,0
01-04 years,2/8/2020,0,0,0,0,0,0
01-04 years,2/9/2020,1,0,1,0,0.142857143,0
01-04 years,2/10/2020,0,0,1,0,0.142857143,0
01-04 years,2/11/2020,0,0,1,0,0.142857143,0
01-04 years,2/12/2020,0,0,1,0,0.142857143,0
01-04 years,2/13/2020,0,0,1,0,0.142857143,0
01-04 years,2/14/2020,0,0,1,0,0.142857143,0
01-04 years,2/15/2020,0,0,1,0,0.142857143,0
01-04 years,2/16/2020,0,0,1,0,0,0
01-04 years,2/17/2020,0,0,1,0,0,0
01-04 years,2/18/2020,0,0,1,0,0,0
01-04 years,2/19/2020,0,0,1,0,0,0
01-04 years,2/20/2020,0,0,1,0,0,0
01-04 years,2/21/2020,0,0,1,0,0,0
01-04 years,2/22/2020,0,0,1,0,0,0
01-04 years,2/23/2020,0,0,1,0,0,0
01-04 years,2/24/2020,0,0,1,0,0,0
01-04 years,2/25/2020,0,0,1,0,0,0
01-04 years,2/26/2020,0,0,1,0,0,0
01-04 years,2/27/2020,1,0,2,0,0.142857143,0
01-04 years,2/28/2020,0,0,2,0,0.142857143,0
01-04 years,2/29/2020,0,0,2,0,0.142857143,0
01-04 years,3/1/2020,0,0,2,0,0.142857143,0
01-04 years,3/2/2020,0,0,2,0,0.142857143,0
01-04 years,3/3/2020,0,0,2,0,0.142857143,0
01-04 years,3/4/2020,0,0,2,0,0.142857143,0
01-04 years,3/5/2020,0,0,2,0,0,0
01-04 years,3/6/2020,0,0,2,0,0,0
01-04 years,3/7/2020,0,0,2,0,0,0
01-04 years,3/8/2020,0,0,2,0,0,0
01-04 years,3/9/2020,1,0,3,0,0.142857143,0
01-04 years,3/10/2020,0,0,3,0,0.142857143,0
01-04 years,3/11/2020,1,0,4,0,0.285714286,0
01-04 years,3/12/2020,0,0,4,0,0.285714286,0
01-04 years,3/13/2020,0,0,4,0,0.285714286,0
01-04 years,3/14/2020,0,0,4,0,0.285714286,0
01-04 years,3/15/2020,1,0,5,0,0.428571429,0
01-04 years,3/16/2020,0,0,5,0,0.285714286,0
01-04 years,3/17/2020,0,0,5,0,0.285714286,0
01-04 years,3/18/2020,2,0,7,0,0.428571429,0
01-04 years,3/19/2020,0,0,7,0,0.428571429,0
01-04 years,3/20/2020,0,0,7,0,0.428571429,0
01-04 years,3/21/2020,0,0,7,0,0.428571429,0
01-04 years,3/22/2020,0,0,7,0,0.285714286,0
01-04 years,3/23/2020,2,0,9,0,0.571428571,0
01-04 years,3/24/2020,2,0,11,0,0.857142857,0
01-04 years,3/25/2020,0,0,11,0,0.571428571,0
01-04 years,3/26/2020,1,0,12,0,0.714285714,0
01-04 years,3/27/2020,1,0,13,0,0.857142857,0
01-04 years,3/28/2020,0,0,13,0,0.857142857,0
01-04 years,3/29/2020,0,0,13,0,0.857142857,0
01-04 years,3/30/2020,1,0,14,0,0.714285714,0
01-04 years,3/31/2020,5,0,19,0,1.142857143,0
01-04 years,4/1/2020,3,0,22,0,1.571428571,0
01-04 years,4/2/2020,1,0,23,0,1.571428571,0
01-04 years,4/3/2020,5,0,28,0,2.142857143,0
01-04 years,4/4/2020,0,0,28,0,2.142857143,0
01-04 years,4/5/2020,0,0,28,0,2.142857143,0
01-04 years,4/6/2020,1,0,29,0,2.142857143,0
01-04 years,4/7/2020,2,0,31,0,1.714285714,0
01-04 years,4/8/2020,3,0,34,0,1.714285714,0
01-04 years,4/9/2020,3,0,37,0,2,0
01-04 years,4/10/2020,4,0,41,0,1.857142857,0
01-04 years,4/11/2020,2,0,43,0,2.142857143,0
01-04 years,4/12/2020,0,0,43,0,2.142857143,0
01-04 years,4/13/2020,6,0,49,0,2.857142857,0
01-04 years,4/14/2020,3,0,52,0,3,0
01-04 years,4/15/2020,1,0,53,0,2.714285714,0
01-04 years,4/16/2020,3,0,56,0,2.714285714,0
01-04 years,4/17/2020,1,0,57,0,2.285714286,0
01-04 years,4/18/2020,3,0,60,0,2.428571429,0
01-04 years,4/19/2020,1,0,61,0,2.571428571,0
01-04 years,4/20/2020,5,0,66,0,2.428571429,0
01-04 years,4/21/2020,5,0,71,0,2.714285714,0
01-04 years,4/22/2020,2,0,73,0,2.857142857,0
01-04 years,4/23/2020,6,0,79,0,3.285714286,0
01-04 years,4/24/2020,5,0,84,0,3.857142857,0
01-04 years,4/25/2020,5,0,89,0,4.142857143,0
01-04 years,4/26/2020,3,0,92,0,4.428571429,0
01-04 years,4/27/2020,7,0,99,0,4.714285714,0
01-04 years,4/28/2020,1,0,100,0,4.142857143,0
01-04 years,4/29/2020,3,0,103,0,4.285714286,0
01-04 years,4/30/2020,6,0,109,0,4.285714286,0
01-04 years,5/1/2020,8,0,117,0,4.714285714,0
01-04 years,5/2/2020,1,0,118,0,4.142857143,0
01-04 years,5/3/2020,1,0,119,0,3.857142857,0
01-04 years,5/4/2020,4,0,123,0,3.428571429,0
01-04 years,5/5/2020,2,0,125,0,3.571428571,0
01-04 years,5/6/2020,3,0,128,0,3.571428571,0
01-04 years,5/7/2020,1,0,129,0,2.857142857,0
01-04 years,5/8/2020,5,0,134,0,2.428571429,0
01-04 years,5/9/2020,3,0,137,0,2.714285714,0
01-04 years,5/10/2020,4,0,141,0,3.142857143,0
01-04 years,5/11/2020,6,0,147,0,3.428571429,0
01-04 years,5/12/2020,4,0,151,0,3.714285714,0
01-04 years,5/13/2020,4,0,155,0,3.857142857,0
01-04 years,5/14/2020,8,0,163,0,4.857142857,0
01-04 years,5/15/2020,9,0,172,0,5.428571429,0
01-04 years,5/16/2020,1,0,173,0,5.142857143,0
01-04 years,5/17/2020,3,0,176,0,5,0
01-04 years,5/18/2020,10,0,186,0,5.571428571,0
01-04 years,5/19/2020,9,0,195,0,6.285714286,0
01-04 years,5/20/2020,9,0,204,0,7,0
01-04 years,5/21/2020,11,0,215,0,7.428571429,0
01-04 years,5/22/2020,6,0,221,0,7,0
01-04 years,5/23/2020,7,0,228,0,7.857142857,0
01-04 years,5/24/2020,2,0,230,0,7.714285714,0
01-04 years,5/25/2020,4,0,234,0,6.857142857,0
01-04 years,5/26/2020,8,0,242,0,6.714285714,0
01-04 years,5/27/2020,9,0,251,0,6.714285714,0
01-04 years,5/28/2020,8,0,259,0,6.285714286,0
01-04 years,5/29/2020,6,0,265,0,6.285714286,0
01-04 years,5/30/2020,10,0,275,0,6.714285714,0
01-04 years,5/31/2020,3,0,278,0,6.857142857,0
01-04 years,6/1/2020,10,0,288,0,7.714285714,0
01-04 years,6/2/2020,20,0,308,0,9.428571429,0
01-04 years,6/3/2020,11,0,319,0,9.714285714,0
01-04 years,6/4/2020,13,0,332,0,10.42857143,0
01-04 years,6/5/2020,16,0,348,0,11.85714286,0
01-04 years,6/6/2020,4,0,352,0,11,0
01-04 years,6/7/2020,4,0,356,0,11.14285714,0
01-04 years,6/8/2020,13,0,369,0,11.57142857,0
01-04 years,6/9/2020,12,0,381,0,10.42857143,0
01-04 years,6/10/2020,11,0,392,0,10.42857143,0
01-04 years,6/11/2020,19,0,411,0,11.28571429,0
01-04 years,6/12/2020,15,0,426,0,11.14285714,0
01-04 years,6/13/2020,10,0,436,0,12,0
01-04 years,6/14/2020,9,0,445,0,12.71428571,0
01-04 years,6/15/2020,23,0,468,0,14.14285714,0
01-04 years,6/16/2020,24,0,492,0,15.85714286,0
01-04 years,6/17/2020,29,0,521,0,18.42857143,0
01-04 years,6/18/2020,23,0,544,0,19,0
01-04 years,6/19/2020,33,0,577,0,21.57142857,0
01-04 years,6/20/2020,24,0,601,0,23.57142857,0
01-04 years,6/21/2020,9,0,610,0,23.57142857,0
01-04 years,6/22/2020,34,0,644,0,25.14285714,0
01-04 years,6/23/2020,37,0,681,0,27,0
01-04 years,6/24/2020,35,0,716,0,27.85714286,0
01-04 years,6/25/2020,49,0,765,0,31.57142857,0
01-04 years,6/26/2020,45,0,810,0,33.28571429,0
01-04 years,6/27/2020,31,0,841,0,34.28571429,0
01-04 years,6/28/2020,27,0,868,0,36.85714286,0
01-04 years,6/29/2020,45,0,913,0,38.42857143,0
01-04 years,6/30/2020,57,0,970,0,41.28571429,0
01-04 years,7/1/2020,68,0,1038,0,46,0
01-04 years,7/2/2020,44,0,1082,0,45.28571429,0
01-04 years,7/3/2020,19,0,1101,0,41.57142857,0
01-04 years,7/4/2020,11,0,1112,0,38.71428571,0
01-04 years,7/5/2020,19,0,1131,0,37.57142857,0
01-04 years,7/6/2020,70,0,1201,0,41.14285714,0
01-04 years,7/7/2020,68,0,1269,0,42.71428571,0
01-04 years,7/8/2020,51,0,1320,0,40.28571429,0
01-04 years,7/9/2020,58,0,1378,0,42.28571429,0
01-04 years,7/10/2020,57,0,1435,0,47.71428571,0
01-04 years,7/11/2020,38,0,1473,0,51.57142857,0
01-04 years,7/12/2020,18,0,1491,0,51.42857143,0
01-04 years,7/13/2020,76,0,1567,0,52.28571429,0
01-04 years,7/14/2020,60,0,1627,0,51.14285714,0
01-04 years,7/15/2020,69,0,1696,0,53.71428571,0
01-04 years,7/16/2020,34,0,1730,0,50.28571429,0
01-04 years,7/17/2020,56,0,1786,0,50.14285714,0
01-04 years,7/18/2020,32,0,1818,0,49.28571429,0
01-04 years,7/19/2020,12,0,1830,0,48.42857143,0
01-04 years,7/20/2020,57,0,1887,0,45.71428571,0
01-04 years,7/21/2020,52,0,1939,0,44.57142857,0
01-04 years,7/22/2020,47,0,1986,0,41.42857143,0
01-04 years,7/23/2020,61,0,2047,0,45.28571429,0
01-04 years,7/24/2020,63,0,2110,0,46.28571429,0
01-04 years,7/25/2020,30,0,2140,0,46,0
01-04 years,7/26/2020,15,0,2155,0,46.42857143,0
01-04 years,7/27/2020,51,0,2206,0,45.57142857,0
01-04 years,7/28/2020,44,0,2250,0,44.42857143,0
01-04 years,7/29/2020,40,0,2290,0,43.42857143,0
01-04 years,7/30/2020,43,0,2333,0,40.85714286,0
01-04 years,7/31/2020,39,0,2372,0,37.42857143,0
01-04 years,8/1/2020,24,0,2396,0,36.57142857,0
01-04 years,8/2/2020,19,0,2415,0,37.14285714,0
01-04 years,8/3/2020,41,0,2456,0,35.71428571,0
01-04 years,8/4/2020,51,0,2507,0,36.71428571,0
01-04 years,8/5/2020,45,0,2552,0,37.42857143,0
01-04 years,8/6/2020,42,0,2594,0,37.28571429,0
